director,actor2,genres,actor1,title,actor3,comb
Chad Kapper,Natalie Welch,Family Sci-Fi,Tom E. Nicholson,rotor dr1,Christian Kapper,Tom E. Nicholson Natalie Welch Christian Kapper Chad Kapper Family Sci-Fi
Sidney Lumet,Lee J. Cobb,Crime Drama,Jack Warden,12 angry men,John Fiedler,Jack Warden Lee J. Cobb John Fiedler Sidney Lumet Crime Drama
Paul Fierlinger,Peter Gerety,Animation Drama,Isabella Rossellini,my dog tulip,Lynn Redgrave,Isabella Rossellini Peter Gerety Lynn Redgrave Paul Fierlinger Animation Drama
Frank Capra,Alan Hale,Comedy Romance,Claudette Colbert,it happened one night,Walter Connolly,Claudette Colbert Alan Hale Walter Connolly Frank Capra Comedy Romance
Lauren Lazin,Gary Coleman,Biography Documentary Music,James Cagney,tupac: resurrection,Todd Bridges,James Cagney Gary Coleman Todd Bridges Lauren Lazin Biography Documentary Music
Gavin O'Connor,Janet McTeer,Comedy Drama,Kimberly J. Brown,tumbleweeds,Lois Smith,Kimberly J. Brown Janet McTeer Lois Smith Gavin O'Connor Comedy Drama
Gregory Widen,Adam Goldberg,Action Fantasy Horror Mystery Thriller,Viggo Mortensen,the prophecy,Virginia Madsen,Viggo Mortensen Adam Goldberg Virginia Madsen Gregory Widen Action Fantasy Horror Mystery Thriller
Peter Hedges,Adrian Martinez,Comedy Drama,Oliver Platt,pieces of april,Derek Luke,Oliver Platt Adrian Martinez Derek Luke Peter Hedges Comedy Drama
Niall Johnson,Mark Caven,Drama,Kevin Howarth,the big swap,Thierry Harcourt,Kevin Howarth Mark Caven Thierry Harcourt Niall Johnson Drama
Kelly Reichardt,Lucy,Drama,Daniel London,old joy,Will Oldham,Daniel London Lucy Will Oldham Kelly Reichardt Drama
Kelly Reichardt,Lucy,Drama,John Robinson,wendy and lucy,Will Oldham,John Robinson Lucy Will Oldham Kelly Reichardt Drama
Eric Mendelsohn,Edie Falco,Drama,Embeth Davidtz,3 backyards,Kathryn Erbe,Embeth Davidtz Edie Falco Kathryn Erbe Eric Mendelsohn Drama
Florence Ayisi,Beatrice Ntuba,Documentary,Vera Ngassa,sisters in law,,Vera Ngassa Beatrice Ntuba  Florence Ayisi Documentary
Pan Nalin,,Documentary,,ayurveda: art of being,,   Pan Nalin Documentary
Michael Roemer,Gloria Foster,Drama Romance,Yaphet Kotto,nothing but a man,Ivan Dixon,Yaphet Kotto Gloria Foster Ivan Dixon Michael Roemer Drama Romance
Jesse Peretz,Eli Marienthal,Drama Romance,Robert John Burke,"first love, last rites",Natasha Gregson Wagner,Robert John Burke Eli Marienthal Natasha Gregson Wagner Jesse Peretz Drama Romance
Eddie O'Flaherty,Eddie Jones,Drama Sport,Don Wallace,fighting tommy riley,Christina Chambers,Don Wallace Eddie Jones Christina Chambers Eddie O'Flaherty Drama Sport
Babar Ahmed,Alexander Wraith,Action Thriller,Lalaine,royal kill,Darren Kendrick,Lalaine Alexander Wraith Darren Kendrick Babar Ahmed Action Thriller
Julie Taymor,T.V. Carpio,Drama Fantasy Musical Romance,Jim Sturgess,across the universe,Robert Clohessy,Jim Sturgess T.V. Carpio Robert Clohessy Julie Taymor Drama Fantasy Musical Romance
John D. Hancock,Elizabeth Stenholt,Drama Music,Trish Basinger,the looking glass,Mary Norwood,Trish Basinger Elizabeth Stenholt Mary Norwood John D. Hancock Drama Music
Paul Bartel,David Carradine,Action Comedy Sci-Fi Sport,Sylvester Stallone,death race 2000,Martin Kove,Sylvester Stallone David Carradine Martin Kove Paul Bartel Action Comedy Sci-Fi Sport
Bruce Dellis,Ricky Schroder,Thriller,Tatyana Ali,locker 13,Jon Polito,Tatyana Ali Ricky Schroder Jon Polito Bruce Dellis Thriller
Pece Dingo,Wilhelm von Homburg,Horror,Michael Des Barres,midnight cabaret,Thom Mathews,Michael Des Barres Wilhelm von Homburg Thom Mathews Pece Dingo Horror
Jerome Elston Scott,Joanna Cassidy,Comedy Drama Romance,Taran Killam,anderson's cross,Ryan Carnes,Taran Killam Joanna Cassidy Ryan Carnes Jerome Elston Scott Comedy Drama Romance
Étienne Faure,Pierre Prieur,Drama Musical Romance,Rumi Missabu,bizarre,Raquel Nave,Rumi Missabu Pierre Prieur Raquel Nave Étienne Faure Drama Musical Romance
Herb Freed,Carmen Argenziano,Horror Mystery,Linnea Quigley,graduation day,Vanna White,Linnea Quigley Carmen Argenziano Vanna White Herb Freed Horror Mystery
Jack Perez,Barry Bostwick,Comedy Crime Drama Horror Mystery Thriller,Kevin Corrigan,some guy who kills people,Ahmed Best,Kevin Corrigan Barry Bostwick Ahmed Best Jack Perez Comedy Crime Drama Horror Mystery Thriller
Craig Zobel,Matt Servitto,Biography Crime Drama Thriller,Dreama Walker,compliance,James McCaffrey,Dreama Walker Matt Servitto James McCaffrey Craig Zobel Biography Crime Drama Thriller
Kevin Smith,Ethan Suplee,Comedy Drama Romance,Matt Damon,chasing amy,Joey Lauren Adams,Matt Damon Ethan Suplee Joey Lauren Adams Kevin Smith Comedy Drama Romance
Nicole Holofcener,Brenda Blethyn,Comedy Drama Romance,Aunjanue Ellis,lovely & amazing,Raven Goodwin,Aunjanue Ellis Brenda Blethyn Raven Goodwin Nicole Holofcener Comedy Drama Romance
Ken Del Conte,Robert Miano,Action Adventure Mystery Romance Thriller,Hector Echavarria,death calls,Ron Roggé,Hector Echavarria Robert Miano Ron Roggé Ken Del Conte Action Adventure Mystery Romance Thriller
Justin Lin,Jason Tobin,Crime Drama Romance,Parry Shen,better luck tomorrow,Collin Kahey,Parry Shen Jason Tobin Collin Kahey Justin Lin Crime Drama Romance
Maria Maggenti,Laurel Holloman,Comedy Drama Romance,Nicole Ari Parker,the incredibly true adventure of two girls in love,Stephanie Berry,Nicole Ari Parker Laurel Holloman Stephanie Berry Maria Maggenti Comedy Drama Romance
Miguel Arteta,Mike White,Comedy Drama,Lupe Ontiveros,chuck & buck,Chris Weitz,Lupe Ontiveros Mike White Chris Weitz Miguel Arteta Comedy Drama
Piyush Dinker Pandya,Rizwan Manji,Comedy Drama Romance,Purva Bedi,american desi,Anil Kumar,Purva Bedi Rizwan Manji Anil Kumar Piyush Dinker Pandya Comedy Drama Romance
Daniel Columbie,Nicholas Simmons,Action Crime Drama,Keri Maletto,amidst the devil's wings,Barbie Castro,Keri Maletto Nicholas Simmons Barbie Castro Daniel Columbie Action Crime Drama
Vincenzo Natali,Julian Richings,Mystery Sci-Fi Thriller,David Hewlett,cube,Nicole de Boer,David Hewlett Julian Richings Nicole de Boer Vincenzo Natali Mystery Sci-Fi Thriller
Emma-Kate Croghan,Frances O'Connor,Comedy Romance,Radha Mitchell,love and other catastrophes,Matt Day,Radha Mitchell Frances O'Connor Matt Day Emma-Kate Croghan Comedy Romance
Bill Plympton,Bill Martone,Animation Comedy Drama Fantasy Sci-Fi,Charis Michelsen,i married a strange person!,Richard Spore,Charis Michelsen Bill Martone Richard Spore Bill Plympton Animation Comedy Drama Fantasy Sci-Fi
Greg Harrison,Anne Archer,Drama Mystery Thriller,Amir Talai,november,Nora Dunn,Amir Talai Anne Archer Nora Dunn Greg Harrison Drama Mystery Thriller
Drake Doremus,Charlie Bewley,Drama Romance,Jennifer Lawrence,like crazy,Finola Hughes,Jennifer Lawrence Charlie Bewley Finola Hughes Drake Doremus Drama Romance
Al Franklin,Steffinnie Phrommany,Horror,Marshal Hilton,teeth and blood,Clint Jung,Marshal Hilton Steffinnie Phrommany Clint Jung Al Franklin Horror
Allison Anders,Rosanna Arquette,Comedy Music,Ally Sheedy,sugar town,John Doe,Ally Sheedy Rosanna Arquette John Doe Allison Anders Comedy Music
Paul Schrader,Gus Van Sant,Drama Thriller,Nolan Gerard Funk,the canyons,James Deen,Nolan Gerard Funk Gus Van Sant James Deen Paul Schrader Drama Thriller
,James Norton,Crime Drama,Shirley Henderson,happy valley            ,Sarah Lancashire,Shirley Henderson James Norton Sarah Lancashire  Crime Drama
Lori Silverbush,Flaco Navaja,Drama,Judy Marte,on the outs,Dominic Colón,Judy Marte Flaco Navaja Dominic Colón Lori Silverbush Drama
Jeff Nichols,Natalie Canerday,Drama Thriller,Michael Abbott Jr.,shotgun stories,Travis Smith,Michael Abbott Jr. Natalie Canerday Travis Smith Jeff Nichols Drama Thriller
Stuart Hazeldine,Luke Mably,Mystery Thriller,Colin Salmon,exam,Pollyanna McIntosh,Colin Salmon Luke Mably Pollyanna McIntosh Stuart Hazeldine Mystery Thriller
Hilary Brougher,Samantha Buck,Sci-Fi,James Urbaniak,the sticky fingers of time,Terumi Matthews,James Urbaniak Samantha Buck Terumi Matthews Hilary Brougher Sci-Fi
Rachel Goldenberg,Mark Hengst,Drama Musical,Dustin Fitzsimons,sunday school musical,Debra Lynn Hull,Dustin Fitzsimons Mark Hengst Debra Lynn Hull Rachel Goldenberg Drama Musical
Corbin Bernsen,Lorne Cardinal,Drama,Corbin Bernsen,rust,Kirsten Collins,Corbin Bernsen Lorne Cardinal Kirsten Collins Corbin Bernsen Drama
Jamin Winans,Marty Lindsey,Action Drama Fantasy Sci-Fi,Eme Ikwuakor,ink,Jessica Duffy,Eme Ikwuakor Marty Lindsey Jessica Duffy Jamin Winans Action Drama Fantasy Sci-Fi
Tom Seidman,Derek Brandon,Drama Family,Florence Henderson,the christmas bunny,Charles Irving Beale,Florence Henderson Derek Brandon Charles Irving Beale Tom Seidman Drama Family
Jason Naumann,Kate Flannery,Comedy Short,Victoria Jackson,jesus people,Tim Bagley,Victoria Jackson Kate Flannery Tim Bagley Jason Naumann Comedy Short
Matt Cimber,June Lockhart,Crime Drama,Stacy Keach,butterfly,Stuart Whitman,Stacy Keach June Lockhart Stuart Whitman Matt Cimber Crime Drama
Sam Martin,Steve Duin,Documentary,Sam Adams,undivided,Jeff Jacob,Sam Adams Steve Duin Jeff Jacob Sam Martin Documentary
Andrew Hyatt,Brit Morgan,Horror Thriller,Noah Segan,the frozen,Sedona James,Noah Segan Brit Morgan Sedona James Andrew Hyatt Horror Thriller
Dan Curtis,Campbell Scott,Fantasy Romance,Jennifer Jason Leigh,the love letter,Estelle Parsons,Jennifer Jason Leigh Campbell Scott Estelle Parsons Dan Curtis Fantasy Romance
Joel Paul Reisig,Dana Blackstone,Family,Joshua Ray Bell,horse camp,Annelyse Ahmad,Joshua Ray Bell Dana Blackstone Annelyse Ahmad Joel Paul Reisig Family
Kristin Rizzo,Robert Davi,Documentary,Esai Morales,give me shelter,Elaine Hendrix,Esai Morales Robert Davi Elaine Hendrix Kristin Rizzo Documentary
Ward Roberts,Jacob Zachar,Comedy,Sid Haig,little big top,Travis Betz,Sid Haig Jacob Zachar Travis Betz Ward Roberts Comedy
Zoran Lisinac,Brock Baker,Comedy Music Romance,Matthew Emerick,along the roadside,Sheldon Bailey,Matthew Emerick Brock Baker Sheldon Bailey Zoran Lisinac Comedy Music Romance
Nicolas Winding Refn,James Lance,Action Biography Crime Drama,Tom Hardy,bronson,Matt King,Tom Hardy James Lance Matt King Nicolas Winding Refn Action Biography Crime Drama
James O'Brien,Vivian Lamolli,Adventure Drama Fantasy Thriller Western,Mark Fantasia,western religion,Greg Jackson,Mark Fantasia Vivian Lamolli Greg Jackson James O'Brien Adventure Drama Fantasy Thriller Western
Jon Shear,Josh Hamilton,Drama,Dan Futterman,urbania,Matt Keeslar,Dan Futterman Josh Hamilton Matt Keeslar Jon Shear Drama
Al Silliman Jr.,Nancy Ison,Comedy Drama,Christina Hart,the stewardesses,William Condos,Christina Hart Nancy Ison William Condos Al Silliman Jr. Comedy Drama
Eugène Lourié,Cecil Kellaway,Adventure Horror Sci-Fi,Kenneth Tobey,"the beast from 20,000 fathoms",Ross Elliott,Kenneth Tobey Cecil Kellaway Ross Elliott Eugène Lourié Adventure Horror Sci-Fi
Richard Fleischer,Robert J. Wilke,Adventure Drama Family Fantasy Sci-Fi,James Mason,"20,000 leagues under the sea",Paul Lukas,James Mason Robert J. Wilke Paul Lukas Richard Fleischer Adventure Drama Family Fantasy Sci-Fi
George Miller,Steve Bisley,Action Adventure Sci-Fi Thriller,Hugh Keays-Byrne,mad max,Joanne Samuel,Hugh Keays-Byrne Steve Bisley Joanne Samuel George Miller Action Adventure Sci-Fi Thriller
Doug Liman,Alex Désert,Comedy Drama,Jon Favreau,swingers,Blake Lindsley,Jon Favreau Alex Désert Blake Lindsley Doug Liman Comedy Drama
Lowell Sherman,Gilbert Roland,Comedy Drama History Musical Romance,Mae West,she done him wrong,Louise Beavers,Mae West Gilbert Roland Louise Beavers Lowell Sherman Comedy Drama History Musical Romance
Maurizio Benazzo,Jasper Johal,Documentary,The Dalai Lama,short cut to nirvana: kumbh mela,Swami Krishnanad,The Dalai Lama Jasper Johal Swami Krishnanad Maurizio Benazzo Documentary
David G. Evans,Chris Thomas,Drama,Michael Joiner,the grace card,Michael Higgenbottom,Michael Joiner Chris Thomas Michael Higgenbottom David G. Evans Drama
Ava DuVernay,David Oyelowo,Drama,Omari Hardwick,middle of nowhere,Lorraine Toussaint,Omari Hardwick David Oyelowo Lorraine Toussaint Ava DuVernay Drama
Sherman Alexie,Leo Rossi,Drama Music,William Joseph Elk III,the business of fancydancing,Cynthia Geary,William Joseph Elk III Leo Rossi Cynthia Geary Sherman Alexie Drama Music
Justin Dillon,Natasha Bedingfield,Documentary History Music,Matisyahu,call + response,Madeleine Albright,Matisyahu Natasha Bedingfield Madeleine Albright Justin Dillon Documentary History Music
Steven Soderbergh,David Costabile,Crime Drama Thriller,Channing Tatum,side effects,Katie Lowes,Channing Tatum David Costabile Katie Lowes Steven Soderbergh Crime Drama Thriller
Stevan Mena,Stevan Mena,Crime Horror Mystery Thriller,R. Brandon Johnson,malevolence,Richard Glover,R. Brandon Johnson Stevan Mena Richard Glover Stevan Mena Crime Horror Mystery Thriller
Adam Rifkin,Adam Rifkin,Comedy Drama,Marri Savinar,shooting the warwicks,Bethany Blakey,Marri Savinar Adam Rifkin Bethany Blakey Adam Rifkin Comedy Drama
Eric Valette,Ryan Kennedy,Horror Sci-Fi Thriller,Melanie Papalia,super hybrid,John Reardon,Melanie Papalia Ryan Kennedy John Reardon Eric Valette Horror Sci-Fi Thriller
Jay Duplass,Jennifer Lafleur,Comedy Drama Horror Romance,Greta Gerwig,baghead,Elise Muller,Greta Gerwig Jennifer Lafleur Elise Muller Jay Duplass Comedy Drama Horror Romance
Livingston Oden,Victoria Lachelle,Comedy Horror Mystery Thriller,Susan Chambers,solitude,Ali Daniels,Susan Chambers Victoria Lachelle Ali Daniels Livingston Oden Comedy Horror Mystery Thriller
Marianna Palka,Martin Starr,Comedy Drama Romance,Bryce Dallas Howard,good dick,Jason Ritter,Bryce Dallas Howard Martin Starr Jason Ritter Marianna Palka Comedy Drama Romance
Richard Schenkman,John Billingsley,Drama Romance Sci-Fi,William Katt,the man from earth,David Lee Smith,William Katt John Billingsley David Lee Smith Richard Schenkman Drama Romance Sci-Fi
Ricki Stern,Evelyn Jefferson,Crime Documentary,Darryl Hunt,the trials of darryl hunt,John Reeves,Darryl Hunt Evelyn Jefferson John Reeves Ricki Stern Crime Documentary
Nadia Tass,Jordan Bridges,Drama Family,Mia Farrow,an american girl holiday,Bruce Gooch,Mia Farrow Jordan Bridges Bruce Gooch Nadia Tass Drama Family
James Kerwin,Chase Masterson,Drama Music Mystery Romance Sci-Fi,John Newton,yesterday was a lie,H.M. Wynant,John Newton Chase Masterson H.M. Wynant James Kerwin Drama Music Mystery Romance Sci-Fi
C. Fraser Press,Robert Turano,Comedy Drama Music,Elaine Bromka,theresa is a mother,Matthew Gumley,Elaine Bromka Robert Turano Matthew Gumley C. Fraser Press Comedy Drama Music
Rania Attieh,Robin Bartlett,Drama Sci-Fi Thriller,Paul Hickert,h.,Rebecca Dayan,Paul Hickert Robin Bartlett Rebecca Dayan Rania Attieh Drama Sci-Fi Thriller
Sharon Greytak,Alex Emanuel,Drama,Sally Kirkland,archaeology of a woman,Elaine Bromka,Sally Kirkland Alex Emanuel Elaine Bromka Sharon Greytak Drama
Andrew Haigh,Chris New,Drama Romance,Tom Cullen,weekend,Vauxhall Jermaine,Tom Cullen Chris New Vauxhall Jermaine Andrew Haigh Drama Romance
Spike Lee,Joie Lee,Comedy Romance,S. Epatha Merkerson,she's gotta have it,Tracy Camilla Johns,S. Epatha Merkerson Joie Lee Tracy Camilla Johns Spike Lee Comedy Romance
Cary Bell,Stacie Evans,Documentary,Abigail Evans,butterfly girl,Emily Gorell,Abigail Evans Stacie Evans Emily Gorell Cary Bell Documentary
Mike Cahill,William Mapother,Drama Romance Sci-Fi,Robin Lord Taylor,another earth,Flint Beverage,Robin Lord Taylor William Mapother Flint Beverage Mike Cahill Drama Romance Sci-Fi
Jason Stone,Ellen Burstyn,Thriller,Topher Grace,the calling,Christopher Heyerdahl,Topher Grace Ellen Burstyn Christopher Heyerdahl Jason Stone Thriller
Melvin Van Peebles,Mario Van Peebles,Crime Drama Thriller,John Amos,sweet sweetback's baadasssss song,Melvin Van Peebles,John Amos Mario Van Peebles Melvin Van Peebles Melvin Van Peebles Crime Drama Thriller
Ken Roht,Joe Lev,Drama,Charla Cochran,perfect cowboy,Sienna Beckman,Charla Cochran Joe Lev Sienna Beckman Ken Roht Drama
Gary Winick,Aaron Stanford,Comedy Drama Romance,Bebe Neuwirth,tadpole,Ron Rifkin,Bebe Neuwirth Aaron Stanford Ron Rifkin Gary Winick Comedy Drama Romance
John Carney,Markéta Irglová,Drama Music Romance,Glen Hansard,once,Darren Healy,Glen Hansard Markéta Irglová Darren Healy John Carney Drama Music Romance
Robinson Devor,Eugene Roche,Comedy,Marilyn Rising,the woman chaser,Max Kerstein,Marilyn Rising Eugene Roche Max Kerstein Robinson Devor Comedy
Michel Orion Scott,Rowan Isaacson,Documentary,Temple Grandin,the horse boy,Simon Baron-Cohen,Temple Grandin Rowan Isaacson Simon Baron-Cohen Michel Orion Scott Documentary
Pat Holden,Martin Compston,Horror,Alan Brent,when the lights went out,Kate Ashfield,Alan Brent Martin Compston Kate Ashfield Pat Holden Horror
Eric Bugbee,Bill Allen,Action Drama Sport,Joel Moody,heroes of dirt,Lia Tucker,Joel Moody Bill Allen Lia Tucker Eric Bugbee Action Drama Sport
Tobe Hooper,Edwin Neal,Horror Thriller,Gunnar Hansen,the texas chain saw massacre,Marilyn Burns,Gunnar Hansen Edwin Neal Marilyn Burns Tobe Hooper Horror Thriller
Bill Melendez,Bill Melendez,Animation Comedy Family,Peter Robbins,a charlie brown christmas,Christopher Shea,Peter Robbins Bill Melendez Christopher Shea Bill Melendez Animation Comedy Family
Dena Seidel,Hugh Ducklow,Adventure Documentary,Naderev Sano,antarctic edge: 70° south,Mike Brett,Naderev Sano Hugh Ducklow Mike Brett Dena Seidel Adventure Documentary
Deborah Anderson,Jesse Jane,Documentary,Lisa Ann,aroused,Kayden Kross,Lisa Ann Jesse Jane Kayden Kross Deborah Anderson Documentary
Sara Newens,Xinhua Jiang,Documentary,Ariel Hsing,top spin,Michael Landers,Ariel Hsing Xinhua Jiang Michael Landers Sara Newens Documentary
Michael Moore,Pat Boone,Documentary,Michael Moore,roger & me,Bob Eubanks,Michael Moore Pat Boone Bob Eubanks Michael Moore Documentary
Paul Schrader,Ruby Dee,Fantasy Horror Thriller,Ed Begley Jr.,cat people,John Heard,Ed Begley Jr. Ruby Dee John Heard Paul Schrader Fantasy Horror Thriller
Sai Varadan,Hassan Johnson,Drama,J.D. Williams,an american in hollywood,Samantha Esteban,J.D. Williams Hassan Johnson Samantha Esteban Sai Varadan Drama
Zal Batmanglij,James Urbaniak,Drama Mystery Sci-Fi Thriller,Christopher Denham,sound of my voice,Constance Wu,Christopher Denham James Urbaniak Constance Wu Zal Batmanglij Drama Mystery Sci-Fi Thriller
Andrew Berends,,Documentary War,,the blood of my brother,,   Andrew Berends Documentary War
Lynn Shelton,Mike Birbiglia,Comedy Drama,Mark Duplass,your sister's sister,Mel Eslyn,Mark Duplass Mike Birbiglia Mel Eslyn Lynn Shelton Comedy Drama
Valentine,Valentine,Romance,Diane Sorrentino,romantic schemer,,Diane Sorrentino Valentine  Valentine Romance
David Hewlett,David Hewlett,Comedy,Christopher Judge,a dog's breakfast,Paul McGillion,Christopher Judge David Hewlett Paul McGillion David Hewlett Comedy
George A. Romero,Duane Jones,Drama Horror Mystery,Judith O'Dea,night of the living dead,S. William Hinzman,Judith O'Dea Duane Jones S. William Hinzman George A. Romero Drama Horror Mystery
Nate Parker,Nate Parker,Biography Drama,Jason Stuart,the birth of a nation,Aunjanue Ellis,Jason Stuart Nate Parker Aunjanue Ellis Nate Parker Biography Drama
Nathan Smith Jones,Frank Gerrish,Comedy,Richard Moll,the work and the story,Christopher Robin Miller,Richard Moll Frank Gerrish Christopher Robin Miller Nathan Smith Jones Comedy
Alex Kendrick,Erin Bethea,Drama Sport,Alex Kendrick,facing the giants,Shannen Fields,Alex Kendrick Erin Bethea Shannen Fields Alex Kendrick Drama Sport
Travis Cluff,Cassidy Gifford,Horror Thriller,Pfeifer Brown,the gallows,Reese Mishler,Pfeifer Brown Cassidy Gifford Reese Mishler Travis Cluff Horror Thriller
David Lynch,Jack Nance,Fantasy Horror Sci-Fi,Hal Landon Jr.,eraserhead,Charlotte Stewart,Hal Landon Jr. Jack Nance Charlotte Stewart David Lynch Fantasy Horror Sci-Fi
Robert Townsend,Keenen Ivory Wayans,Comedy,Robert Townsend,hollywood shuffle,Helen Martin,Robert Townsend Keenen Ivory Wayans Helen Martin Robert Townsend Comedy
Peter Chelsom,Elden Henson,Comedy Drama,Kieran Culkin,the mighty,Gena Rowlands,Kieran Culkin Elden Henson Gena Rowlands Peter Chelsom Comedy Drama
Jamaa Fanaka,Chuck Mitchell,Crime Drama Sport,Leon Isaac Kennedy,penitentiary,Wilbur 'Hi-Fi' White,Leon Isaac Kennedy Chuck Mitchell Wilbur 'Hi-Fi' White Jamaa Fanaka Crime Drama Sport
Larry Blamire,Brian Howe,Comedy Horror Sci-Fi,Fay Masterson,the lost skeleton of cadavra,Larry Blamire,Fay Masterson Brian Howe Larry Blamire Larry Blamire Comedy Horror Sci-Fi
Stephen Langford,Gabriela Castillo,Family,Kevin P. Farley,"dude, where's my dog?!",Brandon Middleton,Kevin P. Farley Gabriela Castillo Brandon Middleton Stephen Langford Family
E.L. Katz,Ethan Embry,Comedy Crime Drama Horror Thriller,Brighton Sharbino,cheap thrills,Elissa Dowling,Brighton Sharbino Ethan Embry Elissa Dowling E.L. Katz Comedy Crime Drama Horror Thriller
Lisanne Pajot,Edmund McMillen,Documentary,Jonathan Blow,indie game: the movie,Phil Fish,Jonathan Blow Edmund McMillen Phil Fish Lisanne Pajot Documentary
Dan Reed,Adam Rayner,Thriller,Danny Dyer,closure,Ralph Brown,Danny Dyer Adam Rayner Ralph Brown Dan Reed Thriller
John Reinhardt,John Ireland,Crime Drama,Sheldon Leonard,open secret,Arthur O'Connell,Sheldon Leonard John Ireland Arthur O'Connell John Reinhardt Crime Drama
Patrick Ryan Sims,Hugh Mun,Action Drama Sci-Fi Thriller,Claire Gordon-Harper,echo dr.,Johnathan Hurley,Claire Gordon-Harper Hugh Mun Johnathan Hurley Patrick Ryan Sims Action Drama Sci-Fi Thriller
Laslo Benedek,Trevor Howard,Crime Horror Thriller,Liv Ullmann,the night visitor,Andrew Keir,Liv Ullmann Trevor Howard Andrew Keir Laslo Benedek Crime Horror Thriller
Jason Miller,Dottie Alexander,Biography Documentary Music,Jon Brion,the past is a grotesque animal,David Barnes,Jon Brion Dottie Alexander David Barnes Jason Miller Biography Documentary Music
Dennis Iliadis,Monica Potter,Crime Horror Thriller,Tony Goldwyn,the last house on the left,Martha MacIsaac,Tony Goldwyn Monica Potter Martha MacIsaac Dennis Iliadis Crime Horror Thriller
Sut Jhally,Seth Ackerman,Documentary,Noam Chomsky,"peace, propaganda & the promised land",Arik Ascherman,Noam Chomsky Seth Ackerman Arik Ascherman Sut Jhally Documentary
Darren Aronofsky,Clint Mansell,Drama Mystery Thriller,Mark Margolis,pi,Stanley B. Herman,Mark Margolis Clint Mansell Stanley B. Herman Darren Aronofsky Drama Mystery Thriller
Julie Davis,Meredith Scott Lynn,Comedy Romance,Jack McGee,"i love you, don't touch me!",Tim DeZarn,Jack McGee Meredith Scott Lynn Tim DeZarn Julie Davis Comedy Romance
Myles Berkowitz,Tom Ardavany,Biography Comedy Romance,Tia Carrere,20 dates,Robert McKee,Tia Carrere Tom Ardavany Robert McKee Myles Berkowitz Biography Comedy Romance
Brett Piper,Steve Diasparra,Action Sci-Fi Thriller,Michelle Simone Miller,queen crab,A.J. DeLucia,Michelle Simone Miller Steve Diasparra A.J. DeLucia Brett Piper Action Sci-Fi Thriller
Morgan Spurlock,Amanda Kearsan,Comedy Documentary Drama,Chemeeka Walker,super size me,Amelia Giancarlo,Chemeeka Walker Amanda Kearsan Amelia Giancarlo Morgan Spurlock Comedy Documentary Drama
Brandon Trost,Sean Whalen,Comedy,Clifton Collins Jr.,the fp,James DeBello,Clifton Collins Jr. Sean Whalen James DeBello Brandon Trost Comedy
Joe Swanberg,Lena Dunham,Comedy Drama,Anna Kendrick,happy christmas,Mark Webber,Anna Kendrick Lena Dunham Mark Webber Joe Swanberg Comedy Drama
Joseph Green,Jason Evers,Horror Sci-Fi,Virginia Leith,the brain that wouldn't die,Bruce Kerr,Virginia Leith Jason Evers Bruce Kerr Joseph Green Horror Sci-Fi
Wade Gasque,Vincent Duvall,Drama,Ty Parker,tiger orange,Loanne Bishop,Ty Parker Vincent Duvall Loanne Bishop Wade Gasque Drama
Daniel Schechter,Kevin Corrigan,Comedy,Lena Dunham,supporting characters,Alex Karpovsky,Lena Dunham Kevin Corrigan Alex Karpovsky Daniel Schechter Comedy
Mike Flanagan,Courtney Bell,Drama Horror Mystery,Justin Gordon,absentia,Erin Cipolletti,Justin Gordon Courtney Bell Erin Cipolletti Mike Flanagan Drama Horror Mystery
Edward Burns,Michael McGlone,Comedy Drama Romance,Shari Albert,the brothers mcmullen,Maxine Bahns,Shari Albert Michael McGlone Maxine Bahns Edward Burns Comedy Drama Romance
Matt Johnson,Shailene Garnett,Crime Drama Thriller,Paul Daniel Ayotte,the dirties,Matt Johnson,Paul Daniel Ayotte Shailene Garnett Matt Johnson Matt Johnson Crime Drama Thriller
Lena Dunham,Merritt Wever,Comedy Drama Romance,Lena Dunham,tiny furniture,Jemima Kirke,Lena Dunham Merritt Wever Jemima Kirke Lena Dunham Comedy Drama Romance
Terron R. Parsons,Jeremy Sande,Crime Drama Horror,Richard Tyson,hayride,Corlandos Scott,Richard Tyson Jeremy Sande Corlandos Scott Terron R. Parsons Crime Drama Horror
Daniel Mellitz,Chelse Swain,Comedy Drama,Corbin Bernsen,the naked ape,Amanda MacDonald,Corbin Bernsen Chelse Swain Amanda MacDonald Daniel Mellitz Comedy Drama
Jem Cohen,,Documentary,,counting,,   Jem Cohen Documentary
Andrew Leman,David Mersault,Fantasy Horror Mystery Thriller,Dan Novy,the call of cthulhu,Barry Lynch,Dan Novy David Mersault Barry Lynch Andrew Leman Fantasy Horror Mystery Thriller
Dave Carroll,,Documentary,Chris 'Wonder' Schoeck,bending steel,,Chris 'Wonder' Schoeck   Dave Carroll Documentary
William Eubank,Olivia Cooke,Sci-Fi Thriller,Lin Shaye,the signal,Beau Knapp,Lin Shaye Olivia Cooke Beau Knapp William Eubank Sci-Fi Thriller
Patrick Meaney,Greg Aronowitz,Biography Documentary,Taliesin Jaffe,the image revolution,Jeff Dowd,Taliesin Jaffe Greg Aronowitz Jeff Dowd Patrick Meaney Biography Documentary
Chad Hartigan,Paul Eenhoorn,Drama,Jan Haley,this is martin bonner,Demetrius Grosse,Jan Haley Paul Eenhoorn Demetrius Grosse Chad Hartigan Drama
